time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451100000	10.7993	20.9425	4.80032	3.27546	0.634625	lidar	0.509297	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5487	20.9458	4.79469	3.26782	0.539573	radar	5.76727	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.265	20.9781	4.87548	3.26444	0.497788	lidar	3.45484	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.025	20.9598	4.87488	3.28269	0.488532	radar	0.993881	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83237	20.9214	4.80286	3.3107	0.495665	lidar	1.69182	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59367	20.9162	4.78294	3.29947	0.412133	radar	1.79243	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40248	20.8656	4.71586	3.32813	0.424182	lidar	1.10017	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18065	20.8225	4.70924	3.35402	0.440521	radar	1.55063	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88685	20.795	4.80596	3.3596	0.417617	lidar	2.08494	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67255	20.713	4.78559	3.40073	0.455829	radar	4.63934	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39674	20.6306	4.85464	3.42649	0.457728	lidar	2.77499	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16777	20.5491	4.85985	3.4602	0.482781	radar	0.185115	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92607	20.4697	4.87799	3.48311	0.480744	lidar	0.110918	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71095	20.3815	4.87874	3.52336	0.526343	radar	3.55834	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40055	20.3254	4.99841	3.52079	0.486482	lidar	3.30058	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.16748	20.2291	4.9982	3.5428	0.478684	radar	0.213977	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.90286	20.1469	5.04669	3.55312	0.460118	lidar	0.57823	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.67576	20.0559	5.03337	3.56781	0.442596	radar	0.447187	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.42842	19.9649	5.05742	3.58007	0.429551	lidar	0.241493	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.21051	19.8711	5.04088	3.59855	0.429227	radar	2.83481	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.94767	19.7783	5.08884	3.60419	0.40815	lidar	0.647947	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72043	19.6301	5.1253	3.65162	0.469889	radar	1.99001	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.54725	19.5048	5.05485	3.68479	0.483805	lidar	1.45748	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.34744	19.3548	5.04486	3.72086	0.503111	radar	1.74891	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13446	19.2526	5.03297	3.73062	0.483916	lidar	1.92378	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94112	19.1423	4.97423	3.73454	0.436143	radar	4.72082	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
